config,defs,scan_s,eval_s_per_query,mrr,hit1,n_queries
hop_shift,SD_HOP=2048;SD_SHIFT_STEP4=2,1.6,3.6,0.329,1,9
hop2048,SD_HOP=2048,2.0,6.9,0.357,2,9
shift05,SD_SHIFT_STEP4=2,2.3,8.4,0.318,1,9
mel2_k24,SD_MEL_BINS=184;SD_BINS_PER_ST=2;SD_RANK_K=24,2.4,9.9,0.309,2,9
mel2,SD_MEL_BINS=184;SD_BINS_PER_ST=2,2.8,11.6,0.348,1,9
mel4_k24,SD_RANK_K=24,2.9,12.5,0.285,1,9
bandhop2,SD_WINDOW_HOP_SECONDS=2,3.0,13.2,0.308,1,9
mel4_k32,SD_RANK_K=32,3.0,13.4,0.384,2,9
mel4,,3.2,14.4,0.317,1,9
linear,SD_MEL_BINS=0,6.9,44.1,0.375,2,9
